SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,278 Mccarty Ave,Albany,NY,12209,155000,3,1.0,Albany,1092,3484,1934,1,142,,Active,,,https://www.redfin.com/NY/Albany/278-McCarty-Ave-12209/home/97926643,Global MLS,202424975,N,Y,42.6357562,-73.7780266
MLS Listing,,Multi-Family (5+ Unit),372 Madison Ave,Albany,NY,12210,185000,8,5.0,Albany,4347,1306,1820,1,43,,Active,,,https://www.redfin.com/NY/Albany/372-Madison-Ave-12210/home/106372837,Global MLS,202424965,N,Y,42.6510295,-73.7655988
MLS Listing,,Condo/Co-op,805 Greenwich Dr,Albany,NY,12203,187000,2,1.0,Albany,1051,,1989,1,178,300,Active,,,https://www.redfin.com/NY/Albany/805-Greenwich-Dr-12203/home/106351913,Global MLS,202424952,N,Y,42.698361,-73.859993
MLS Listing,,Single Family Residential,12 Monroe Ave,Albany,NY,12203,375000,3,1.5,Albany,1239,19166,1936,1,303,,Active,September-8-2024 01:00 PM,September-8-2024 03:00 PM,https://www.redfin.com/NY/Albany/12-Monroe-Ave-12203/home/171050084,Global MLS,202424945,N,Y,42.6679497,-73.8294957
MLS Listing,,Multi-Family (2-4 Unit),107 Hollywood Ave,Albany,NY,12208,375000,4,2.0,Albany,1986,5662,1933,1,189,,Active,,,https://www.redfin.com/NY/Albany/107-Hollywood-Ave-12208/home/98012273,Global MLS,202424936,N,Y,42.6508087,-73.7964371
MLS Listing,,Single Family Residential,392 Greenway,Albany,NY,12208,379900,4,2.5,Albany,2566,10018,1958,1,148,,Active,,,https://www.redfin.com/NY/Albany/392-Greenway-12208/home/106374223,Global MLS,202424934,N,Y,42.6640207,-73.814419
MLS Listing,,Single Family Residential,47 Manning Blvd,Albany,NY,12203,499900,5,3.5,Albany,2799,11325,1904,1,179,,Active,,,https://www.redfin.com/NY/Albany/47-Manning-Blvd-12203/home/97929211,Global MLS,202424930,N,Y,42.6689712,-73.7938977
MLS Listing,,Single Family Residential,179 Russell Rd,Albany,NY,12203,299000,3,1.5,Albany,1197,5227,1978,1,250,,Active,September-8-2024 11:00 AM,September-8-2024 01:00 PM,https://www.redfin.com/NY/Albany/179-Russell-Blessing-Rd-12203/home/106376888,Global MLS,202424925,N,Y,42.669334,-73.82559
MLS Listing,,Single Family Residential,37 Winnie St,Albany,NY,12208,259900,3,2.0,Albany,1356,6098,1965,1,192,,Active,,,https://www.redfin.com/NY/Albany/37-Winnie-St-12208/home/106355536,Global MLS,202424918,N,Y,42.6600746,-73.7997
MLS Listing,,Single Family Residential,40 Newton St,Colonie,NY,12205,220000,4,1.0,Colonie,832,6098,1941,1,264,,Active,,,https://www.redfin.com/NY/Albany/40-Newton-St-12205/home/72467948,Global MLS,202424916,N,Y,42.688754,-73.7968894
MLS Listing,,Single Family Residential,33 Cherry St,Albany,NY,12205,369990,3,2.0,Albany,1550,5662,1955,1,239,,Active,,,https://www.redfin.com/NY/Albany/33-Cherry-St-12205/home/72447027,Global MLS,202424907,N,Y,42.6989936,-73.8175158
MLS Listing,,Single Family Residential,23 Golder St,Albany,NY,12209,320000,3,1.0,Albany,1056,8276,1987,2,303,,Active,,,https://www.redfin.com/NY/Albany/23-Golder-St-12209/home/97969574,Global MLS,202424888,N,Y,42.6359095,-73.7964183
MLS Listing,,Multi-Family (2-4 Unit),23 Beach Ave,Albany,NY,12203,360000,5,3.0,Albany,2080,6534,1965,2,173,,Active,,,https://www.redfin.com/NY/Albany/23-Beach-Ave-12203/home/102014413,Global MLS,202424887,N,Y,42.6684493,-73.8221753
MLS Listing,,Single Family Residential,69 Frederick Ave,Albany,NY,12205,309500,3,2.5,Albany,1247,4791,1950,2,248,,Active,September-8-2024 12:00 PM,September-8-2024 02:00 PM,https://www.redfin.com/NY/Albany/69-Frederick-Ave-12205/home/72457558,Global MLS,202424868,N,Y,42.6998738,-73.8035258
